scene0000_00: Seed: 42, Selected_ID: 16, accepted after 0 times, dx, dy=(0.0, 0.0), eric_5_68
scene0106_00: Seed: 42, Selected_ID: 14, accepted after 11 times, dx, dy=(0.2933924896004937, -3.3186973282712393), eric_25_88
scene0106_01: Seed: 42, Selected_ID: 21, accepted after 1 times, dx, dy=(-0.5677049342292567, 4.316058561851405), eric_0_70
scene0106_02: Seed: 42, Selected_ID: 20, accepted after 27 times, dx, dy=(1.5349998429086291, 2.91006861284693), eric_5_6
scene0107_00: Seed: 42, Selected_ID: 11, accepted after 6 times, dx, dy=(-1.179943067956303, 2.9614869617066577), eric_10_70
scene0108_00: Seed: 42, Selected_ID: 16, accepted after 2 times, dx, dy=(0.6342535874060019, 0.47016475402630703), eric_30_37
scene0109_00: Seed: 42, Selected_ID: 15, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10_60
scene0109_01: Seed: 42, Selected_ID: 19, accepted after 0 times, dx, dy=(0.0, 0.0), eric_25_10
scene0110_00: Seed: 42, Selected_ID: 6, accepted after 0 times, dx, dy=(0.0, 0.0), eric_15_76
scene0110_01: Seed: 42, Selected_ID: 31, accepted after 0 times, dx, dy=(0.0, 0.0), eric_5_51
scene0110_02: Seed: 42, Selected_ID: 15, accepted after 0 times, dx, dy=(0.0, 0.0), eric_25_40
scene0111_00: Seed: 42, Selected_ID: 38, accepted after 2 times, dx, dy=(0.9155126402310668, -0.017257408750316713), eric_5_33
scene0111_01: Seed: 42, Selected_ID: 41, accepted after 1 times, dx, dy=(-0.20285649428393426, 2.1741578536002932), eric_5_72
scene0111_02: Seed: 42, Selected_ID: 39, accepted after 1 times, dx, dy=(-0.21719515931606292, 3.17122336769104), eric_0_79
NO SUIT ERIC! Using default
scene0112_00: Seed: 42, Selected_ID: 3, accepted after 10000 times, dx, dy=(-0.08265786945940995, -0.6236349514746672), eric_0_26
scene0112_01: Seed: 42, Selected_ID: 18, accepted after 0 times, dx, dy=(0.0, 0.0), eric_15_11
scene0112_02: Seed: 42, Selected_ID: 15, accepted after 0 times, dx, dy=(0.0, 0.0), eric_20_49
scene0113_00: Seed: 42, Selected_ID: 9, accepted after 1 times, dx, dy=(-0.10824055713634995, 2.0945328480319145), eric_5_98
scene0113_01: Seed: 42, Selected_ID: 4, accepted after 1 times, dx, dy=(-0.9083254498103203, 1.09080784251296), eric_20_94
scene0114_00: Seed: 42, Selected_ID: 12, accepted after 204 times, dx, dy=(0.11721367055571963, -1.9312235137610048), eric_20_78
scene0114_01: Seed: 42, Selected_ID: 3, accepted after 1 times, dx, dy=(-0.014567297927508105, 2.2298638868639897), eric_10_16
scene0114_02: Seed: 42, Selected_ID: 27, accepted after 185 times, dx, dy=(-0.894947082016713, -1.7014547602838033), eric_30_89
scene0115_00: Seed: 42, Selected_ID: 6, accepted after 1 times, dx, dy=(-0.5607146528653578, 2.949024152223289), eric_5_81
scene0115_01: Seed: 42, Selected_ID: 10, accepted after 1 times, dx, dy=(-0.9163220024855131, 3.841089184827242), eric_5_75
scene0115_02: Seed: 42, Selected_ID: 16, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10_61
scene0116_00: Seed: 42, Selected_ID: 24, accepted after 3 times, dx, dy=(-0.5784554757979085, -1.425939147520763), eric_0_94
scene0116_01: Seed: 42, Selected_ID: 17, accepted after 3 times, dx, dy=(-0.7800992711108629, -1.0917635689810379), eric_5_87
scene0116_02: Seed: 42, Selected_ID: 26, accepted after 2 times, dx, dy=(0.6344217076453202, 0.6099435452302694), eric_30_86
scene0117_00: Seed: 42, Selected_ID: 31, accepted after 1 times, dx, dy=(0.12368315914499328, 1.82457048149041), eric_0_59
scene0118_00: Seed: 42, Selected_ID: 8, accepted after 0 times, dx, dy=(0.0, 0.0), eric_-15_14
scene0118_01: Seed: 42, Selected_ID: 6, accepted after 0 times, dx, dy=(0.0, 0.0), eric_0_81
scene0118_02: Seed: 42, Selected_ID: 13, accepted after 0 times, dx, dy=(0.0, 0.0), eric_0_15
scene0119_00: Seed: 42, Selected_ID: 17, accepted after 13 times, dx, dy=(-0.38057470347320965, -0.4838071796627624), eric_-10_54
scene0120_00: Seed: 42, Selected_ID: 21, accepted after 4 times, dx, dy=(-0.5765333808034847, 1.5396383967937421), eric_0_14
scene0120_01: Seed: 42, Selected_ID: 13, accepted after 4 times, dx, dy=(-0.47800868589273326, 1.7406082116137915), eric_0_5
NO SUIT ERIC! Using default
scene0121_00: Seed: 42, Selected_ID: 5, accepted after 10000 times, dx, dy=(-0.18498998480747747, -0.7068163178364516), eric_0_94
NO SUIT ERIC! Using default
scene0121_01: Seed: 42, Selected_ID: 27, accepted after 10000 times, dx, dy=(0.19268869079060424, 0.8748621964868551), eric_0_77
scene0121_02: Seed: 42, Selected_ID: 12, accepted after 0 times, dx, dy=(0.0, 0.0), eric_0_75
scene0122_00: Seed: 42, Selected_ID: 6, accepted after 4 times, dx, dy=(-0.816129142571476, 0.9447640836508916), eric_30_32
scene0122_01: Seed: 42, Selected_ID: 11, accepted after 4 times, dx, dy=(-0.7913589692291361, 0.8775284806155635), eric_25_66
scene0123_00: Seed: 42, Selected_ID: 22, accepted after 0 times, dx, dy=(0.0, 0.0), eric_20_99
scene0123_01: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_5_27
scene0123_02: Seed: 42, Selected_ID: 9, accepted after 0 times, dx, dy=(0.0, 0.0), eric_20_12
scene0124_00: Seed: 42, Selected_ID: 22, accepted after 3 times, dx, dy=(-0.5062184226882208, -0.3624108359745437), eric_25_29
scene0124_01: Seed: 42, Selected_ID: 19, accepted after 3 times, dx, dy=(-0.5633080839816048, -0.513085206596371), eric_30_63
scene0125_00: Seed: 42, Selected_ID: 6, accepted after 3 times, dx, dy=(-1.8786555469079849, -1.9501007346972188), eric_15_6
scene0126_00: Seed: 42, Selected_ID: 37, accepted after 7 times, dx, dy=(0.8022906242160729, -1.1596054632199178), eric_15_60
scene0126_01: Seed: 42, Selected_ID: 23, accepted after 30 times, dx, dy=(-1.002828872019255, -0.44455975277565524), eric_20_4
scene0126_02: Seed: 42, Selected_ID: 21, accepted after 30 times, dx, dy=(-0.9953995162992689, -0.7056401728775009), eric_5_75
scene0127_00: Seed: 42, Selected_ID: 24, accepted after 0 times, dx, dy=(0.0, 0.0), eric_5_31
scene0127_01: Seed: 42, Selected_ID: 1, accepted after 0 times, dx, dy=(0.0, 0.0), eric_5_65
scene0128_00: Seed: 42, Selected_ID: 8, accepted after 4 times, dx, dy=(-0.8043666266805498, 1.4958677978845725), eric_25_18
scene0129_00: Seed: 42, Selected_ID: 26, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10_74
scene0130_00: Seed: 42, Selected_ID: 5, accepted after 1 times, dx, dy=(-0.09747870682550996, 1.5802980998325806), eric_20_25
scene0131_00: Seed: 42, Selected_ID: 42, accepted after 4 times, dx, dy=(-1.8004987494566635, 2.2024318480304186), eric_15_16
scene0131_01: Seed: 42, Selected_ID: 23, accepted after 18 times, dx, dy=(1.814898104763516, 2.112385513657649), eric_30_61
scene0131_02: Seed: 42, Selected_ID: 23, accepted after 7 times, dx, dy=(1.8659065366204315, -1.5759418441790394), eric_15_53
scene0132_00: Seed: 42, Selected_ID: 18, accepted after 7 times, dx, dy=(1.6600611289557747, -2.9350005827220973), eric_0_22
scene0132_01: Seed: 42, Selected_ID: 11, accepted after 1 times, dx, dy=(-2.4225503310041963, 1.5236738364835027), eric_20_26
scene0132_02: Seed: 42, Selected_ID: 12, accepted after 3 times, dx, dy=(-1.053667672553471, -3.3946378631867984), eric_10_53
scene0133_00: Seed: 42, Selected_ID: 1, accepted after 4 times, dx, dy=(-0.716241520261434, 2.32569119740964), eric_25_71
scene0134_00: Seed: 42, Selected_ID: 16, accepted after 4 times, dx, dy=(-1.9092081680703488, 1.3667590267735499), eric_20_20
scene0134_01: Seed: 42, Selected_ID: 13, accepted after 4 times, dx, dy=(-1.8730580287760135, 0.5353048322889896), eric_25_89
scene0134_02: Seed: 42, Selected_ID: 3, accepted after 6 times, dx, dy=(-1.709686893330041, 0.7979718407650304), eric_15_9
scene0135_00: Seed: 42, Selected_ID: 1, accepted after 18 times, dx, dy=(1.3928112419183272, 0.05291778257311648), eric_20_20
scene0136_00: Seed: 42, Selected_ID: 27, accepted after 5 times, dx, dy=(0.36296622116224486, 0.09512613922772924), eric_0_7
failed
NO SUIT ERIC! Using default
scene0136_02: Seed: 42, Selected_ID: 5, accepted after 10000 times, dx, dy=(-0.47150611779026563, -2.141320875493837), eric_0_14
scene0137_00: Seed: 42, Selected_ID: 15, accepted after 0 times, dx, dy=(0.0, 0.0), eric_15_16
scene0137_01: Seed: 42, Selected_ID: 20, accepted after 2 times, dx, dy=(0.5180398813973753, 0.22598279420711737), eric_0_50
scene0137_02: Seed: 42, Selected_ID: 4, accepted after 2 times, dx, dy=(0.5184875584333198, 0.6839659204750851), eric_25_85
scene0138_00: Seed: 42, Selected_ID: 37, accepted after 3 times, dx, dy=(-1.5016165352159212, -3.3819357687797464), eric_5_65
scene0139_00: Seed: 42, Selected_ID: 20, accepted after 7 times, dx, dy=(0.8429310367228536, -0.7487802697876603), eric_0_16
scene0140_00: Seed: 42, Selected_ID: 5, accepted after 1 times, dx, dy=(-0.4757952536377069, 3.378558699837843), eric_10_53
scene0140_01: Seed: 42, Selected_ID: 1, accepted after 11 times, dx, dy=(0.3933840607144149, -2.7169707975036537), eric_0_7
scene0141_00: Seed: 42, Selected_ID: 6, accepted after 35 times, dx, dy=(-0.9695137460500255, 2.3273905874734235), eric_5_5
scene0141_01: Seed: 42, Selected_ID: 64, accepted after 163 times, dx, dy=(0.7972759498521743, 0.9765226557901107), eric_15_39
scene0141_02: Seed: 42, Selected_ID: 21, accepted after 30 times, dx, dy=(-0.8221742091843801, -0.7177304387275386), eric_30_92
scene0142_00: Seed: 42, Selected_ID: 31, accepted after 0 times, dx, dy=(0.0, 0.0), eric_-10_44
NO SUIT ERIC! Using default
scene0142_01: Seed: 42, Selected_ID: 28, accepted after 10000 times, dx, dy=(-1.7858032728592508, -0.15437111755738314), eric_0_37
failed
scene0143_01: Seed: 42, Selected_ID: 12, accepted after 18 times, dx, dy=(1.3002281042264765, 2.1092778755374018), eric_10_9
scene0143_02: Seed: 42, Selected_ID: 29, accepted after 3 times, dx, dy=(-0.9316921459517385, -1.8702546985803128), eric_5_67
scene0144_00: Seed: 42, Selected_ID: 12, accepted after 0 times, dx, dy=(0.0, 0.0), eric_0_22
scene0144_01: Seed: 42, Selected_ID: 22, accepted after 9 times, dx, dy=(-0.9492362437979429, 0.04675631562054934), eric_10_75
scene0145_00: Seed: 42, Selected_ID: 13, accepted after 1 times, dx, dy=(0.01766233927780314, 2.8432176777559017), eric_5_22
scene0146_00: Seed: 42, Selected_ID: 1, accepted after 0 times, dx, dy=(0.0, 0.0), eric_25_52
scene0146_01: Seed: 42, Selected_ID: 6, accepted after 0 times, dx, dy=(0.0, 0.0), eric_15_56
scene0146_02: Seed: 42, Selected_ID: 9, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10_89
scene0147_00: Seed: 42, Selected_ID: 10, accepted after 3 times, dx, dy=(-0.8657661796549648, -1.130920712893875), eric_25_69
scene0147_01: Seed: 42, Selected_ID: 13, accepted after 6 times, dx, dy=(-1.306207501189125, 2.2749856347097137), eric_10_26
scene0148_00: Seed: 42, Selected_ID: 2, accepted after 1 times, dx, dy=(-0.7547539856787279, 2.8359591770116457), eric_5_19
scene0149_00: Seed: 42, Selected_ID: 22, accepted after 10 times, dx, dy=(-0.3228650233545628, -0.8906343689430432), eric_5_36
scene0150_00: Seed: 42, Selected_ID: 4, accepted after 19 times, dx, dy=(-0.7787477227786732, -1.7813681204340155), eric_5_56
scene0150_01: Seed: 42, Selected_ID: 5, accepted after 3 times, dx, dy=(-1.7852122872612917, -1.623662003585975), eric_0_90
failed
scene0151_00: Seed: 42, Selected_ID: 1, accepted after 1 times, dx, dy=(-1.0341166010994085, 3.009384711894517), eric_0_48
scene0151_01: Seed: 42, Selected_ID: 3, accepted after 2 times, dx, dy=(1.1532784441127593, 1.3513854087542445), eric_15_34
scene0152_00: Seed: 42, Selected_ID: 2, accepted after 0 times, dx, dy=(0.0, 0.0), eric_0_44
scene0152_01: Seed: 42, Selected_ID: 44, accepted after 0 times, dx, dy=(0.0, 0.0), eric_0_0
scene0152_02: Seed: 42, Selected_ID: 45, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10_85
scene0153_00: Seed: 42, Selected_ID: 21, accepted after 3 times, dx, dy=(-0.5441031613026038, -0.3843970008345167), eric_-10_13
scene0153_01: Seed: 42, Selected_ID: 23, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10_32
NO SUIT ERIC! Using default
scene0154_00: Seed: 42, Selected_ID: 6, accepted after 10000 times, dx, dy=(0.25712939311911853, 2.2856299927802626), eric_0_18
scene0155_00: Seed: 42, Selected_ID: 10, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10_36
scene0155_01: Seed: 42, Selected_ID: 18, accepted after 0 times, dx, dy=(0.0, 0.0), eric_5_73
scene0155_02: Seed: 42, Selected_ID: 14, accepted after 0 times, dx, dy=(0.0, 0.0), eric_15_77
scene0156_00: Seed: 42, Selected_ID: 16, accepted after 11 times, dx, dy=(1.0073376125844606, -1.1095713203539121), eric_5_29
scene0157_00: Seed: 42, Selected_ID: 15, accepted after 0 times, dx, dy=(0.0, 0.0), eric_25_8
scene0157_01: Seed: 42, Selected_ID: 16, accepted after 95 times, dx, dy=(0.11806023868865512, -0.41228432685413235), eric_25_97
scene0158_00: Seed: 42, Selected_ID: 2, accepted after 12 times, dx, dy=(-0.006705290536995451, -0.6329494057149471), eric_25_57
scene0158_01: Seed: 42, Selected_ID: 12, accepted after 0 times, dx, dy=(0.0, 0.0), eric_-5_90
scene0158_02: Seed: 42, Selected_ID: 20, accepted after 335 times, dx, dy=(-0.08598078061125985, -0.9869783469721648), eric_-15_14
scene0159_00: Seed: 42, Selected_ID: 14, accepted after 0 times, dx, dy=(0.0, 0.0), eric_5_7
scene0160_00: Seed: 42, Selected_ID: 17, accepted after 18 times, dx, dy=(2.9866409849396875, 1.2023613251667757), eric_10_83
scene0160_01: Seed: 42, Selected_ID: 6, accepted after 18 times, dx, dy=(1.827753277097302, 0.5839407972093186), eric_15_13
failed
scene0160_03: Seed: 42, Selected_ID: 6, accepted after 1 times, dx, dy=(-0.02745497420129872, 1.3849188187073456), eric_20_35
scene0160_04: Seed: 42, Selected_ID: 12, accepted after 42 times, dx, dy=(-1.387265465931046, -1.2367318598652246), eric_15_76
scene0161_00: Seed: 42, Selected_ID: 7, accepted after 3 times, dx, dy=(-1.7429891232977712, -0.6016726643230592), eric_10_22
NO SUIT ERIC! Using default
scene0161_01: Seed: 42, Selected_ID: 1, accepted after 10000 times, dx, dy=(-1.7360123623908055, -0.42142978884483295), eric_0_72
scene0161_02: Seed: 42, Selected_ID: 8, accepted after 4 times, dx, dy=(-1.6602993876218424, 0.7261339546405358), eric_25_80
failed
scene0163_00: Seed: 42, Selected_ID: 16, accepted after 7 times, dx, dy=(0.7988256209863253, -1.2247828309016329), eric_5_49
scene0163_01: Seed: 42, Selected_ID: 1, accepted after 13 times, dx, dy=(-0.1311198233494536, 1.3297925408396918), eric_25_7
NO SUIT ERIC! Using default
scene0164_00: Seed: 42, Selected_ID: 9, accepted after 10000 times, dx, dy=(1.5064714056904673, -0.10959666047154547), eric_0_20
scene0164_01: Seed: 42, Selected_ID: 41, accepted after 68 times, dx, dy=(1.3313074547469497, -0.05326366673214032), eric_30_13
scene0164_02: Seed: 42, Selected_ID: 2, accepted after 3 times, dx, dy=(-0.27383160475403207, -1.0873898090770917), eric_-5_86
scene0164_03: Seed: 42, Selected_ID: 39, accepted after 3 times, dx, dy=(-0.2825629458824684, -1.0554444288266371), eric_20_70
scene0165_00: Seed: 42, Selected_ID: 13, accepted after 1 times, dx, dy=(0.28763385248500606, 2.40245034936027), eric_5_78
scene0165_01: Seed: 42, Selected_ID: 4, accepted after 1 times, dx, dy=(-0.7251881464704465, 1.3509654685742654), eric_15_98
scene0165_02: Seed: 42, Selected_ID: 8, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10_95
scene0166_00: Seed: 42, Selected_ID: 43, accepted after 6 times, dx, dy=(-1.527141265726954, 1.4779220776334234), eric_10_86
scene0166_01: Seed: 42, Selected_ID: 39, accepted after 5 times, dx, dy=(0.49552262297517846, 0.6641290605896771), eric_30_41
scene0166_02: Seed: 42, Selected_ID: 24, accepted after 10 times, dx, dy=(-0.09185034131620118, -0.7225611109944159), eric_0_8
scene0167_00: Seed: 42, Selected_ID: 12, accepted after 0 times, dx, dy=(0.0, 0.0), eric_25_52
scene0168_00: Seed: 42, Selected_ID: 9, accepted after 3 times, dx, dy=(-0.7670339070001372, -2.1493881760250515), eric_5_98
scene0168_01: Seed: 42, Selected_ID: 40, accepted after 25 times, dx, dy=(-0.23353911510574055, -1.4817868014957845), eric_0_78
scene0168_02: Seed: 42, Selected_ID: 3, accepted after 3 times, dx, dy=(-0.6834098935190136, -1.4052210127569114), eric_10_2
scene0169_00: Seed: 42, Selected_ID: 4, accepted after 4 times, dx, dy=(-1.7171244645499968, 1.9700537495015082), eric_15_16
scene0169_01: Seed: 42, Selected_ID: 28, accepted after 4 times, dx, dy=(-1.6826875118769196, 2.0186709118019706), eric_15_83
scene0170_00: Seed: 42, Selected_ID: 2, accepted after 2 times, dx, dy=(0.36656947095774395, -0.5901965564912148), eric_5_58
scene0170_01: Seed: 42, Selected_ID: 1, accepted after 2 times, dx, dy=(-0.343194940170764, 0.5529633982920195), eric_10_79
NO SUIT ERIC! Using default
scene0170_02: Seed: 42, Selected_ID: 7, accepted after 10000 times, dx, dy=(-0.7924217536780183, 0.14368633051527413), eric_0_26
scene0171_00: Seed: 42, Selected_ID: 2, accepted after 1 times, dx, dy=(-0.027100289338921058, 2.041279642919094), eric_5_64
scene0171_01: Seed: 42, Selected_ID: 14, accepted after 1 times, dx, dy=(-0.9458494735524924, 2.5175049820252604), eric_15_42
scene0172_00: Seed: 42, Selected_ID: 11, accepted after 9 times, dx, dy=(-0.47741101502129146, 0.0758584543360142), eric_20_8
scene0172_01: Seed: 42, Selected_ID: 13, accepted after 0 times, dx, dy=(0.0, 0.0), eric_30_79
scene0173_00: Seed: 42, Selected_ID: 1, accepted after 6 times, dx, dy=(-2.5099477986429104, 3.777137352686317), eric_10_61
scene0173_01: Seed: 42, Selected_ID: 11, accepted after 1 times, dx, dy=(-0.3248821519908657, 2.519219714088615), eric_10_39
scene0173_02: Seed: 42, Selected_ID: 23, accepted after 70 times, dx, dy=(0.10558023532989325, 2.6606542899231918), eric_15_54
scene0174_00: Seed: 42, Selected_ID: 21, accepted after 189 times, dx, dy=(0.2984044879318478, -2.04448369472671), eric_30_0
scene0174_01: Seed: 42, Selected_ID: 29, accepted after 0 times, dx, dy=(0.0, 0.0), eric_15_4
scene0175_00: Seed: 42, Selected_ID: 25, accepted after 0 times, dx, dy=(0.0, 0.0), eric_15_56
failed
scene0177_00: Seed: 42, Selected_ID: 16, accepted after 1 times, dx, dy=(-0.18385941111839854, 1.7659307088335454), eric_25_0
scene0177_01: Seed: 42, Selected_ID: 26, accepted after 1 times, dx, dy=(-0.2900598825728046, 1.717916315259948), eric_30_52
scene0177_02: Seed: 42, Selected_ID: 18, accepted after 1 times, dx, dy=(-0.45479935616654743, 1.7039413820172868), eric_25_90
scene0178_00: Seed: 42, Selected_ID: 25, accepted after 0 times, dx, dy=(0.0, 0.0), eric_20_53
scene0179_00: Seed: 42, Selected_ID: 9, accepted after 4 times, dx, dy=(-1.27197460788725, 1.4521760172570037), eric_0_57
scene0180_00: Seed: 42, Selected_ID: 25, accepted after 1 times, dx, dy=(-0.1028754036277687, 5.317247594659879), eric_0_97
scene0181_00: Seed: 42, Selected_ID: 45, accepted after 0 times, dx, dy=(0.0, 0.0), eric_0_85
scene0181_01: Seed: 42, Selected_ID: 19, accepted after 0 times, dx, dy=(0.0, 0.0), eric_25_57
scene0181_02: Seed: 42, Selected_ID: 7, accepted after 2 times, dx, dy=(1.0521878060048988, 0.6815416447716632), eric_5_64
scene0181_03: Seed: 42, Selected_ID: 5, accepted after 1 times, dx, dy=(0.14799673207331043, 2.147849010065685), eric_15_2
scene0182_00: Seed: 42, Selected_ID: 1, accepted after 3 times, dx, dy=(-0.7374163995954132, 1.008961699812822), eric_10_55
failed
failed
failed
scene0184_00: Seed: 42, Selected_ID: 29, accepted after 5 times, dx, dy=(0.46698474375751686, 0.667884193063711), eric_25_20
scene0185_00: Seed: 42, Selected_ID: 29, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10_77
scene0186_00: Seed: 42, Selected_ID: 21, accepted after 3 times, dx, dy=(-1.7583666344417068, -1.327260408746853), eric_10_88
scene0186_01: Seed: 42, Selected_ID: 13, accepted after 8 times, dx, dy=(-1.9351055518704574, -1.3598348833749982), eric_10_49
scene0187_00: Seed: 42, Selected_ID: 8, accepted after 0 times, dx, dy=(0.0, 0.0), eric_20_49
scene0187_01: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_20_12
scene0188_00: Seed: 42, Selected_ID: 9, accepted after 15 times, dx, dy=(0.7001176960116456, -1.8085868202479158), eric_25_11
scene0189_00: Seed: 42, Selected_ID: 23, accepted after 0 times, dx, dy=(0.0, 0.0), eric_15_31
scene0190_00: Seed: 42, Selected_ID: 22, accepted after 3 times, dx, dy=(-0.5960246858875337, -1.619333918908208), eric_10_40
scene0191_00: Seed: 42, Selected_ID: 6, accepted after 3 times, dx, dy=(-0.13382560960312723, -2.5782877739455974), eric_0_24
scene0191_01: Seed: 42, Selected_ID: 11, accepted after 18 times, dx, dy=(1.3266945032257267, 1.1639621944645733), eric_20_94
scene0191_02: Seed: 42, Selected_ID: 13, accepted after 2 times, dx, dy=(0.9741236841229307, 0.016869985338631224), eric_25_18
scene0192_00: Seed: 42, Selected_ID: 5, accepted after 2 times, dx, dy=(1.325666944318323, 0.23353272216582593), eric_25_94
scene0192_01: Seed: 42, Selected_ID: 4, accepted after 27 times, dx, dy=(0.3523106960975818, 1.501814746102894), eric_30_3
scene0192_02: Seed: 42, Selected_ID: 4, accepted after 1 times, dx, dy=(0.2589173857833872, 2.07141697677874), eric_-5_40
NO SUIT ERIC! Using default
scene0193_00: Seed: 42, Selected_ID: 7, accepted after 10000 times, dx, dy=(-1.2097989778247982, 0.4893520597586816), eric_0_59
scene0193_01: Seed: 42, Selected_ID: 16, accepted after 1 times, dx, dy=(-0.709774727497633, 1.947667954987944), eric_30_70
failed
scene0195_00: Seed: 42, Selected_ID: 28, accepted after 5 times, dx, dy=(0.03601702109694338, -0.0048410364913544085), eric_0_81
scene0195_01: Seed: 42, Selected_ID: 2, accepted after 30 times, dx, dy=(-0.7613819242045241, -0.734951953729576), eric_10_68
scene0195_02: Seed: 42, Selected_ID: 27, accepted after 30 times, dx, dy=(-0.8224675528394173, -0.8166551890433704), eric_15_96
scene0196_00: Seed: 42, Selected_ID: 16, accepted after 1 times, dx, dy=(-0.24911164411430964, 2.9177750198897816), eric_10_79
scene0197_00: Seed: 42, Selected_ID: 26, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10_14
scene0197_01: Seed: 42, Selected_ID: 12, accepted after 0 times, dx, dy=(0.0, 0.0), eric_-5_74
scene0197_02: Seed: 42, Selected_ID: 18, accepted after 0 times, dx, dy=(0.0, 0.0), eric_15_13
scene0198_00: Seed: 42, Selected_ID: 14, accepted after 2 times, dx, dy=(0.43957581977721505, -0.000957210424500296), eric_25_91
scene0199_00: Seed: 42, Selected_ID: 5, accepted after 3 times, dx, dy=(-1.8877114496442178, -2.6729657732601573), eric_20_12
scene0200_00: Seed: 42, Selected_ID: 17, accepted after 2 times, dx, dy=(0.5729373919807731, 0.2266538392927296), eric_10_29
scene0200_01: Seed: 42, Selected_ID: 18, accepted after 3 times, dx, dy=(-0.8876099839416598, -1.0365778791095106), eric_10_38
scene0200_02: Seed: 42, Selected_ID: 9, accepted after 3 times, dx, dy=(-0.38685885876911646, -0.9713828630132361), eric_20_53
