scene0000_00: Seed: 42, Selected_ID: 52, accepted after 0 times, dx, dy=(0.0, 0.0), eric_0
scene0110_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_15
scene0110_01: Seed: 42, Selected_ID: 29, accepted after 0 times, dx, dy=(0.0, 0.0), eric_25
scene0110_02: Seed: 42, Selected_ID: 29, accepted after 0 times, dx, dy=(0.0, 0.0), eric_25
scene0111_00: Seed: 42, Selected_ID: 39, accepted after 2 times, dx, dy=(1.0639561487250604, -0.022362130438945124), eric_5
scene0111_01: Seed: 42, Selected_ID: 39, accepted after 14 times, dx, dy=(-0.17932364684778934, 2.2755354980421707), eric_-15
scene0111_02: Seed: 42, Selected_ID: 39, accepted after 1 times, dx, dy=(-0.21719515931606292, 3.17122336769104), eric_0
scene0112_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_20
NO SUIT ERIC! Using default scene0112_01: Seed: 42, Selected_ID: 7, accepted after 10000 times, dx, dy=(-0.3730850157254303, 1.37233529047133), eric_0
scene0112_02: Seed: 42, Selected_ID: 7, accepted after 5 times, dx, dy=(-0.21679728470252582, 0.5957525807524685), eric_30
scene0113_00: Seed: 42, Selected_ID: 7, accepted after 2 times, dx, dy=(1.7865368273180793, 0.7571628598725696), eric_30
scene0113_01: Seed: 42, Selected_ID: 7, accepted after 6 times, dx, dy=(-2.2971894576135465, 0.410418302812732), eric_25
scene0114_00: Seed: 42, Selected_ID: 7, accepted after 8 times, dx, dy=(1.2381937794702882, 0.4858233540477766), eric_0
scene0114_01: Seed: 42, Selected_ID: 7, accepted after 9 times, dx, dy=(0.5174287113510249, -1.5111813205827656), eric_25
scene0114_02: Seed: 42, Selected_ID: 7, accepted after 3 times, dx, dy=(-0.33365083320009414, -1.5808595888305377), eric_0
scene0115_00: Seed: 42, Selected_ID: 7, accepted after 6 times, dx, dy=(-1.7940949357020948, 1.549776697686495), eric_30
scene0115_01: Seed: 42, Selected_ID: 7, accepted after 4 times, dx, dy=(-0.592160813221735, -0.1738874820803022), eric_5
scene0115_02: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_0
scene0116_00: Seed: 42, Selected_ID: 7, accepted after 3 times, dx, dy=(-0.20959917065180567, -1.5842485584390973), eric_20
scene0116_01: Seed: 42, Selected_ID: 29, accepted after 3 times, dx, dy=(-0.830245420858514, -0.29333171346732806), eric_30
scene0116_02: Seed: 42, Selected_ID: 29, accepted after 6 times, dx, dy=(0.6221654986457827, 1.5837306565699454), eric_15
scene0117_00: Seed: 42, Selected_ID: 39, accepted after 1 times, dx, dy=(0.6794937243892502, -0.7003970486810858), eric_15
scene0118_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10
scene0118_01: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_30
scene0118_02: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_30
scene0119_00: Seed: 42, Selected_ID: 7, accepted after 379 times, dx, dy=(-0.3224293163006856, -0.538430595686536), eric_30
scene0120_00: Seed: 42, Selected_ID: 7, accepted after 8 times, dx, dy=(0.21862777163171787, 0.36773320625449674), eric_25
scene0120_01: Seed: 42, Selected_ID: 7, accepted after 8 times, dx, dy=(0.2788837244364668, 0.6489056751115861), eric_25
scene0121_00: Seed: 42, Selected_ID: 7, accepted after 5 times, dx, dy=(-0.42305145238565234, 0.1938969642632074), eric_30
scene0121_01: Seed: 42, Selected_ID: 7, accepted after 2 times, dx, dy=(0.12305696915280706, 0.39513527407952403), eric_30
scene0121_02: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_20
scene0122_00: Seed: 42, Selected_ID: 7, accepted after 4 times, dx, dy=(-0.1492872614861821, -0.3202959685514191), eric_10
NO SUIT ERIC! Using default scene0122_01: Seed: 42, Selected_ID: 7, accepted after 10000 times, dx, dy=(-0.8102516911974599, 1.1900996303562439), eric_0
scene0123_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_25
scene0123_01: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_5
scene0123_02: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10
NO SUIT ERIC! Using default scene0124_00: Seed: 42, Selected_ID: 7, accepted after 10000 times, dx, dy=(-0.6387556499755593, -0.3609583557383554), eric_0
scene0124_01: Seed: 42, Selected_ID: 7, accepted after 1 times, dx, dy=(0.008648168291944813, -0.4972713213357615), eric_-5
scene0125_00: Seed: 42, Selected_ID: 7, accepted after 3 times, dx, dy=(-0.7427067477968635, -2.253108006332803), eric_10
scene0126_00: Seed: 42, Selected_ID: 39, accepted after 1 times, dx, dy=(0.7228128093901415, -1.2752554664894282), eric_20
scene0126_01: Seed: 42, Selected_ID: 7, accepted after 9 times, dx, dy=(0.293664733470237, -1.672561615974644), eric_10
scene0126_02: Seed: 42, Selected_ID: 7, accepted after 9 times, dx, dy=(0.3062537414382326, -1.9635558514484572), eric_15
scene0127_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_30
scene0127_01: Seed: 42, Selected_ID: 7, accepted after 3 times, dx, dy=(-0.15366507519995676, -1.5531627950822242), eric_25
scene0128_00: Seed: 42, Selected_ID: 7, accepted after 6 times, dx, dy=(-0.8088008847983156, 1.0693399341086127), eric_30
scene0129_00: Seed: 42, Selected_ID: 29, accepted after 0 times, dx, dy=(0.0, 0.0), eric_0
scene0130_00: Seed: 42, Selected_ID: 7, accepted after 7 times, dx, dy=(0.8787644603465473, -2.003288240262121), eric_10
scene0131_00: Seed: 42, Selected_ID: 39, accepted after 6 times, dx, dy=(-1.8050432046705849, 1.2657960855510597), eric_20
scene0131_01: Seed: 42, Selected_ID: 39, accepted after 7 times, dx, dy=(1.739212499193851, -3.08290243436837), eric_30
scene0131_02: Seed: 42, Selected_ID: 39, accepted after 1 times, dx, dy=(1.747599546590521, -1.7420401382525703), eric_20
scene0132_00: Seed: 42, Selected_ID: 7, accepted after 1 times, dx, dy=(1.5163180091587187, -3.0923579312872818), eric_10
scene0132_01: Seed: 42, Selected_ID: 7, accepted after 6 times, dx, dy=(-4.181572997063173, 0.6551470683305783), eric_5
scene0132_02: Seed: 42, Selected_ID: 7, accepted after 5 times, dx, dy=(-1.1068226113654154, -0.6018882776083042), eric_15
scene0133_00: Seed: 42, Selected_ID: 7, accepted after 4 times, dx, dy=(0.36359824999897106, -0.8840734355879182), eric_20
scene0134_00: Seed: 42, Selected_ID: 7, accepted after 19 times, dx, dy=(-2.04888431000361, -0.9455934080616342), eric_25
scene0134_01: Seed: 42, Selected_ID: 7, accepted after 6 times, dx, dy=(-1.8783219289511934, 0.08085413162477668), eric_0
scene0134_02: Seed: 42, Selected_ID: 7, accepted after 7 times, dx, dy=(1.8205955823215514, -2.0509827053723626), eric_5
scene0135_00: Seed: 42, Selected_ID: 7, accepted after 7 times, dx, dy=(1.3545347026090493, -0.7405983924707114), eric_0
scene0136_00: Seed: 42, Selected_ID: 39, accepted after 7 times, dx, dy=(0.8874578459787029, -2.0696749194139805), eric_15
failed
scene0136_02: Seed: 42, Selected_ID: 29, accepted after 9 times, dx, dy=(-0.6558984047902683, -2.261460087741089), eric_5
scene0137_00: Seed: 42, Selected_ID: 29, accepted after 0 times, dx, dy=(0.0, 0.0), eric_15
scene0137_01: Seed: 42, Selected_ID: 29, accepted after 5 times, dx, dy=(0.2928226158137194, -3.1242316277551985), eric_25
scene0137_02: Seed: 42, Selected_ID: 39, accepted after 2 times, dx, dy=(0.6553430967868951, 0.6733104280261352), eric_5
scene0138_00: Seed: 42, Selected_ID: 39, accepted after 1 times, dx, dy=(1.2077924522870211, -3.1937901042812356), eric_5
scene0139_00: Seed: 42, Selected_ID: 7, accepted after 1 times, dx, dy=(0.788511245037188, -0.8083211946414798), eric_0
scene0140_00: Seed: 42, Selected_ID: 39, accepted after 1 times, dx, dy=(1.1153666374758537, -2.102721932872358), eric_0
scene0140_01: Seed: 42, Selected_ID: 39, accepted after 3 times, dx, dy=(-0.22117914573073916, -3.0053681230084615), eric_10
scene0141_00: Seed: 42, Selected_ID: 52, accepted after 153 times, dx, dy=(0.818286633992738, 0.3323475883669758), eric_10
scene0141_01: Seed: 42, Selected_ID: 52, accepted after 1 times, dx, dy=(0.7890722839275753, 0.9529952144668891), eric_20
scene0141_02: Seed: 42, Selected_ID: 52, accepted after 174 times, dx, dy=(-0.8220266627596904, -0.5301575546983249), eric_10
scene0142_00: Seed: 42, Selected_ID: 39, accepted after 0 times, dx, dy=(0.0, 0.0), eric_20
scene0142_01: Seed: 42, Selected_ID: 39, accepted after 0 times, dx, dy=(0.0, 0.0), eric_25
failed
scene0143_01: Seed: 42, Selected_ID: 39, accepted after 5 times, dx, dy=(-0.7168863059348443, 1.2100905208285717), eric_-5
scene0143_02: Seed: 42, Selected_ID: 29, accepted after 9 times, dx, dy=(-1.3125552472855375, -2.581778107275119), eric_0
scene0144_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10
scene0144_01: Seed: 42, Selected_ID: 7, accepted after 4 times, dx, dy=(-0.507734892197376, -0.36370707331565005), eric_5
scene0145_00: Seed: 42, Selected_ID: 7, accepted after 1 times, dx, dy=(2.26696586593423, -0.9119147221166048), eric_25
scene0146_00: Seed: 42, Selected_ID: 7, accepted after 6 times, dx, dy=(-0.37943869878673664, 0.2890282321852294), eric_30
scene0146_01: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_30
scene0146_02: Seed: 42, Selected_ID: 7, accepted after 2 times, dx, dy=(0.22515774746260864, 0.2987410881170614), eric_30
scene0147_00: Seed: 42, Selected_ID: 29, accepted after 86 times, dx, dy=(0.622448547034468, 1.5571549024585194), eric_30
scene0147_01: Seed: 42, Selected_ID: 39, accepted after 3 times, dx, dy=(-0.18060716469875715, -2.800259887836108), eric_0
scene0148_00: Seed: 42, Selected_ID: 7, accepted after 1 times, dx, dy=(1.4063274519738949, -0.5044366577343758), eric_10
NO SUIT ERIC! Using default scene0149_00: Seed: 42, Selected_ID: 7, accepted after 10000 times, dx, dy=(-0.522416587081673, -0.9489912710871352), eric_0
scene0150_00: Seed: 42, Selected_ID: 7, accepted after 3 times, dx, dy=(-0.5105764853435756, -1.773074699593625), eric_30
scene0150_01: Seed: 42, Selected_ID: 7, accepted after 3 times, dx, dy=(-0.9279148654374071, -1.8255717758418841), eric_25
failed
scene0151_00: Seed: 42, Selected_ID: 39, accepted after 6 times, dx, dy=(-3.2263423513577454, 1.5506275421055522), eric_0
scene0151_01: Seed: 42, Selected_ID: 7, accepted after 2 times, dx, dy=(1.4147157191929631, 1.3425422611985034), eric_25
scene0152_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_25
scene0152_01: Seed: 42, Selected_ID: 39, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10
scene0152_02: Seed: 42, Selected_ID: 39, accepted after 0 times, dx, dy=(0.0, 0.0), eric_20
scene0153_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_30
scene0153_01: Seed: 42, Selected_ID: 7, accepted after 2 times, dx, dy=(0.35910642246090035, 0.15240763010875907), eric_-15
scene0154_00: Seed: 42, Selected_ID: 7, accepted after 1 times, dx, dy=(0.6804356308092404, 2.2932834733124503), eric_10
scene0155_00: Seed: 42, Selected_ID: 29, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10
scene0155_01: Seed: 42, Selected_ID: 7, accepted after 1 times, dx, dy=(1.2963151496288479, -1.8863297712854676), eric_30
scene0155_02: Seed: 42, Selected_ID: 7, accepted after 1 times, dx, dy=(1.188397706583657, -1.9237221706821512), eric_10
scene0156_00: Seed: 42, Selected_ID: 7, accepted after 1 times, dx, dy=(1.8028531751507133, -0.9886523796151151), eric_10
scene0157_00: Seed: 42, Selected_ID: 7, accepted after 8 times, dx, dy=(0.7570169961945316, 0.605021418865277), eric_20
NO SUIT ERIC! Using default scene0157_01: Seed: 42, Selected_ID: 7, accepted after 10000 times, dx, dy=(0.8656894147355433, 0.21189618485087675), eric_0
scene0158_00: Seed: 42, Selected_ID: 29, accepted after 1 times, dx, dy=(-0.08552936850010628, 0.9635202528772256), eric_25
scene0158_01: Seed: 42, Selected_ID: 29, accepted after 0 times, dx, dy=(0.0, 0.0), eric_5
scene0158_02: Seed: 42, Selected_ID: 29, accepted after 0 times, dx, dy=(0.0, 0.0), eric_5
scene0159_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_15
scene0160_00: Seed: 42, Selected_ID: 7, accepted after 7 times, dx, dy=(2.8595879365516286, -0.8142014116276524), eric_10
scene0160_01: Seed: 42, Selected_ID: 7, accepted after 7 times, dx, dy=(1.7507488316480164, -2.6968429438806707), eric_15
failed
scene0160_03: Seed: 42, Selected_ID: 7, accepted after 7 times, dx, dy=(2.235655387132438, -0.9716140360810613), eric_30
scene0160_04: Seed: 42, Selected_ID: 7, accepted after 139 times, dx, dy=(-1.8606592945121503, -1.2194185218122144), eric_30
scene0161_00: Seed: 42, Selected_ID: 7, accepted after 5 times, dx, dy=(-1.7490516959882223, -0.15173283411337263), eric_10
scene0161_01: Seed: 42, Selected_ID: 7, accepted after 10 times, dx, dy=(-1.7286261293391818, 0.08186155287178871), eric_25
scene0161_02: Seed: 42, Selected_ID: 7, accepted after 525 times, dx, dy=(0.8080859593309725, -1.0056807336332296), eric_20
failed
scene0163_00: Seed: 42, Selected_ID: 7, accepted after 1 times, dx, dy=(0.6972728353132988, -1.3759339398696828), eric_15
scene0163_01: Seed: 42, Selected_ID: 7, accepted after 15 times, dx, dy=(-0.10136334032108596, 1.719650293530859), eric_30
scene0164_00: Seed: 42, Selected_ID: 39, accepted after 7 times, dx, dy=(1.475851982463138, -0.4102127575964451), eric_5
scene0164_01: Seed: 42, Selected_ID: 39, accepted after 8 times, dx, dy=(1.4369235875227835, 0.18813536081220356), eric_-15
scene0164_02: Seed: 42, Selected_ID: 39, accepted after 1 times, dx, dy=(0.23388458980320426, -1.0274983719992525), eric_30
scene0164_03: Seed: 42, Selected_ID: 39, accepted after 7 times, dx, dy=(0.34258239879145513, -1.3565890353746866), eric_25
scene0165_00: Seed: 42, Selected_ID: 7, accepted after 3 times, dx, dy=(0.49010986471400886, -1.3692338197346317), eric_10
scene0165_01: Seed: 42, Selected_ID: 7, accepted after 4 times, dx, dy=(-0.5191444160783124, -1.0494444798042664), eric_20
scene0165_02: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_15
scene0166_00: Seed: 42, Selected_ID: 39, accepted after 3 times, dx, dy=(-0.3361308482064379, -1.2304974562179847), eric_5
scene0166_01: Seed: 42, Selected_ID: 39, accepted after 7 times, dx, dy=(1.4527478544653047, -1.5510611746331773), eric_15
scene0166_02: Seed: 42, Selected_ID: 39, accepted after 4 times, dx, dy=(-0.007475496784453806, -0.6029689608096764), eric_5
scene0167_00: Seed: 42, Selected_ID: 39, accepted after 0 times, dx, dy=(0.0, 0.0), eric_20
scene0168_00: Seed: 42, Selected_ID: 39, accepted after 5 times, dx, dy=(-0.8059986329731131, 0.6153288318698297), eric_0
scene0168_01: Seed: 42, Selected_ID: 39, accepted after 37 times, dx, dy=(-1.7421240127188766, -1.4238899962388478), eric_20
scene0168_02: Seed: 42, Selected_ID: 39, accepted after 6 times, dx, dy=(-0.9572743353882599, 0.9973256835263354), eric_10
scene0169_00: Seed: 42, Selected_ID: 39, accepted after 7 times, dx, dy=(1.4909529352242714, -2.985841624835031), eric_25
scene0169_01: Seed: 42, Selected_ID: 39, accepted after 7 times, dx, dy=(1.563793527322073, -2.778749376135279), eric_10
scene0170_00: Seed: 42, Selected_ID: 7, accepted after 2 times, dx, dy=(0.3966007040307734, -0.5921492501403808), eric_15
scene0170_01: Seed: 42, Selected_ID: 7, accepted after 2 times, dx, dy=(-0.3130432833128327, 0.5510306209815506), eric_15
NO SUIT ERIC! Using default scene0170_02: Seed: 42, Selected_ID: 7, accepted after 10000 times, dx, dy=(-0.18598592808492653, 0.3813355735540804), eric_0
scene0171_00: Seed: 42, Selected_ID: 7, accepted after 7 times, dx, dy=(1.4902611614532089, -2.8721861959392188), eric_5
scene0171_01: Seed: 42, Selected_ID: 7, accepted after 1 times, dx, dy=(1.9190660340675159, -2.8250584954289093), eric_5
scene0172_00: Seed: 42, Selected_ID: 7, accepted after 95 times, dx, dy=(-0.5762113651638753, 1.1819515674629926), eric_30
scene0172_01: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_20
scene0173_00: Seed: 42, Selected_ID: 29, accepted after 5 times, dx, dy=(0.640359215581693, -2.240499503873818), eric_5
scene0173_01: Seed: 42, Selected_ID: 7, accepted after 14 times, dx, dy=(-0.2909054486697388, 2.6898636187017337), eric_10
scene0173_02: Seed: 42, Selected_ID: 7, accepted after 14 times, dx, dy=(0.18031267815009622, 2.72069063363448), eric_15
scene0174_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_5
scene0174_01: Seed: 42, Selected_ID: 29, accepted after 0 times, dx, dy=(0.0, 0.0), eric_15
scene0175_00: Seed: 42, Selected_ID: 39, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10
failed
scene0177_00: Seed: 42, Selected_ID: 29, accepted after 1 times, dx, dy=(-0.6222745196596631, 1.0922576920126918), eric_10
scene0177_01: Seed: 42, Selected_ID: 29, accepted after 1 times, dx, dy=(-0.720932823720008, 1.055829144912266), eric_15
scene0177_02: Seed: 42, Selected_ID: 7, accepted after 14 times, dx, dy=(-0.4368082963919253, 1.8333665476641243), eric_0
scene0178_00: Seed: 42, Selected_ID: 39, accepted after 0 times, dx, dy=(0.0, 0.0), eric_25
scene0179_00: Seed: 42, Selected_ID: 7, accepted after 15 times, dx, dy=(-0.23560462544870708, 1.427855798877305), eric_0
scene0180_00: Seed: 42, Selected_ID: 29, accepted after 6 times, dx, dy=(1.0533655390771992, 5.198260730388192), eric_0
scene0181_00: Seed: 42, Selected_ID: 39, accepted after 0 times, dx, dy=(0.0, 0.0), eric_20
scene0181_01: Seed: 42, Selected_ID: 39, accepted after 0 times, dx, dy=(0.0, 0.0), eric_-15
scene0181_02: Seed: 42, Selected_ID: 29, accepted after 2 times, dx, dy=(0.5782808015691708, -0.20728129245786525), eric_-15
scene0181_03: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_20
NO SUIT ERIC! Using default scene0182_00: Seed: 42, Selected_ID: 7, accepted after 10000 times, dx, dy=(-0.8903462350893634, 1.259563499591467), eric_0
failed
failed
failed
scene0184_00: Seed: 42, Selected_ID: 7, accepted after 12 times, dx, dy=(1.55534266231377, -0.7926920103441859), eric_0
scene0185_00: Seed: 42, Selected_ID: 39, accepted after 0 times, dx, dy=(0.0, 0.0), eric_15
scene0186_00: Seed: 42, Selected_ID: 39, accepted after 1 times, dx, dy=(1.993494694516964, -1.2108898648996067), eric_5
scene0186_01: Seed: 42, Selected_ID: 29, accepted after 2 times, dx, dy=(-0.18988685768363267, -0.25531942834943616), eric_20
scene0187_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10
scene0187_01: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_20
scene0188_00: Seed: 42, Selected_ID: 7, accepted after 3 times, dx, dy=(0.2116920375151613, -1.601891192485873), eric_30
scene0189_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_20
scene0190_00: Seed: 42, Selected_ID: 7, accepted after 3 times, dx, dy=(-0.23775938944313024, -1.8171223548410957), eric_0
scene0191_00: Seed: 42, Selected_ID: 7, accepted after 4 times, dx, dy=(0.46233367430072914, -1.4384911535404818), eric_10
scene0191_01: Seed: 42, Selected_ID: 7, accepted after 7 times, dx, dy=(1.275796473970149, -3.74104738978849), eric_5
scene0191_02: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_10
scene0192_00: Seed: 42, Selected_ID: 7, accepted after 1 times, dx, dy=(1.5234830468870375, -1.728129822994152), eric_15
scene0192_01: Seed: 42, Selected_ID: 7, accepted after 5 times, dx, dy=(-1.8151016325744513, 0.6902235524296975), eric_0
scene0192_02: Seed: 42, Selected_ID: 7, accepted after 7 times, dx, dy=(1.8959038390001703, -1.5518089717270334), eric_30
NO SUIT ERIC! Using default scene0193_00: Seed: 42, Selected_ID: 7, accepted after 10000 times, dx, dy=(-1.3631188968444548, 1.850118686755102), eric_0
scene0193_01: Seed: 42, Selected_ID: 7, accepted after 6 times, dx, dy=(-1.5633778328714998, 1.2549096678926206), eric_15
failed
NO SUIT ERIC! Using default scene0195_00: Seed: 42, Selected_ID: 7, accepted after 10000 times, dx, dy=(-1.0133269055107768, -0.7899739516876355), eric_0
scene0195_01: Seed: 42, Selected_ID: 7, accepted after 19 times, dx, dy=(-0.8116168910341787, -0.8951395229837568), eric_20
NO SUIT ERIC! Using default scene0195_02: Seed: 42, Selected_ID: 7, accepted after 10000 times, dx, dy=(-0.7041248870292326, -0.7434028805330698), eric_0
scene0196_00: Seed: 42, Selected_ID: 29, accepted after 1 times, dx, dy=(-1.1866407432383186, 1.9207922171054872), eric_20
scene0197_00: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_25
scene0197_01: Seed: 42, Selected_ID: 7, accepted after 0 times, dx, dy=(0.0, 0.0), eric_0
scene0197_02: Seed: 42, Selected_ID: 29, accepted after 11 times, dx, dy=(-0.16480987225470828, 1.5906335948443655), eric_25
scene0198_00: Seed: 42, Selected_ID: 7, accepted after 95 times, dx, dy=(0.18100318330420462, 1.4616306538764567), eric_25
scene0199_00: Seed: 42, Selected_ID: 7, accepted after 1 times, dx, dy=(0.4975674522033108, -2.5063250673259936), eric_15
scene0200_00: Seed: 42, Selected_ID: 7, accepted after 1 times, dx, dy=(0.7606082174077174, -0.5397396409953352), eric_20
scene0200_01: Seed: 42, Selected_ID: 7, accepted after 19 times, dx, dy=(-1.135604451079201, -0.8119694733987056), eric_20
scene0200_02: Seed: 42, Selected_ID: 7, accepted after 1 times, dx, dy=(0.7526704799915057, -0.8909845724488329), eric_20
